id,text,created_at
1218317686729519107,#Newfoundland,Fri Jan 17 23:42:26 +0000 2020
1218317650310455299,.. tie to the other side of the harbour.. #nlwx #snowmaggedon2020 https://t.co/HVci5lUZre,Fri Jan 17 23:42:17 +0000 2020
1218317636087533568,"All jokes aside;

With all this weather, I'm really worried about anyone today looking for health care.

I hope you… https://t.co/4ybYARLxF1",Fri Jan 17 23:42:14 +0000 2020
1218317610498056193,"Well Barbie, we're just getting started. #nlwx https://t.co/ws6w0SOPxS",Fri Jan 17 23:42:08 +0000 2020
1218317572304711680,My lovely front door #nlwx https://t.co/pPA0Cp2EeP,Fri Jan 17 23:41:59 +0000 2020
1218317506567270400,Just a normal day on the east coast. #nlblizzard2020 https://t.co/Z0ZosStiqp,Fri Jan 17 23:41:43 +0000 2020
1218317505812467712,"I don't care how many snow storms you've been through that's too much snow! Send plows, salt, shovels, skidoos, sno… https://t.co/LbzN0rrmA7",Fri Jan 17 23:41:43 +0000 2020
1218317471389712385,Hard to tell but my Chev Equinox is under here #nlblizzard2020 #snowmaggedon2020 #dudewheresmycar https://t.co/Xrjl1O0nVR,Fri Jan 17 23:41:35 +0000 2020
1218317458374832129,@user_260 Career highlight lol! Gusts of 120 km/hr while standing in a snowbank. #nlwx,Fri Jan 17 23:41:31 +0000 2020
1218317426728886272,#blizzard #stormageddon2020 #nlweather #nlblizzard2020 #wind is definitely strong and blowing a gale out there… https://t.co/AVFDZUu14y,Fri Jan 17 23:41:24 +0000 2020
1218317378544599045,Today is the 4th snowiest January day on record in #StJohns: 55cm. #NLWx https://t.co/NYYuWBjCMU,Fri Jan 17 23:41:12 +0000 2020
1218317363868831746,"Anyone else's walls noticeably flexing or is just me?

#nlwhiteout 
#nlwx",Fri Jan 17 23:41:09 +0000 2020
1218317336303808513,About an hour ago we heard a few thuds on the side of the house. Looked out the window and saw a (now dead) pigeon… https://t.co/hvyNTVXmEz,Fri Jan 17 23:41:02 +0000 2020
1218317319966990336,That wind is angry. #nlwx https://t.co/WFCg8G9DJf,Fri Jan 17 23:40:58 +0000 2020
1218317317861453825,@user_309 I've never seen anything like this before.. It's relentless #nlwx,Fri Jan 17 23:40:58 +0000 2020
1218317257585188864,"The reports of the storm are unreal!  Seriously, I know Newfoundlanders are tougher than any of us other Canadians,… https://t.co/Nd3gifmxvh",Fri Jan 17 23:40:44 +0000 2020
1218317207324721152,"Hey tweeps please Retweet! 
Your periodic reminder that your smartphone and smartwatch will freeze and brick if you… https://t.co/JoZkUajzcU",Fri Jan 17 23:40:32 +0000 2020
1218317175771082752,@user_1505 @user_2114 @user_637 I'll be watching assuming we still have power...just riding out #Snowmageddon #stormchips,Fri Jan 17 23:40:24 +0000 2020
1218317147857879040,Current status: figuring out if I need to stock up for #snowmageddon this weekend or if it’s overblown. 🤔,Fri Jan 17 23:40:17 +0000 2020
1218317108779548672,Near white to whiteout conditions have been persistent for about 10 hours now in Mount Pearl. #nlwx,Fri Jan 17 23:40:08 +0000 2020
1218317091310309387,"Neighbour's mooring line broke this AM, so you do what you gotta do.

#nlwx #snowmaggedon2020 @user_1242 https://t.co/XoqX0nhW4M",Fri Jan 17 23:40:04 +0000 2020
1218317081856430087,Appropriate #snowstorm2020 @user_2281 #nlwx https://t.co/W2PgWhZDke,Fri Jan 17 23:40:02 +0000 2020
1218316994128367616,Visibility officially ZERO at Gander #YQX. #nlwx https://t.co/A17NhQF8SP,Fri Jan 17 23:39:41 +0000 2020
1218316982266687489,Weather guy in #Newfoundland determined to battle on... https://t.co/UwLuCOuclB,Fri Jan 17 23:39:38 +0000 2020
1218316957830852609,"Thanks to Jeff Douglas and the folks of @user_1301 who are keeping the radio special on the air, while we aim to get ou… https://t.co/gznLi2LAQl",Fri Jan 17 23:39:32 +0000 2020
1218316921952768001,Hey St. John's friends. If you still have power in 150+ km/hr winds and 80+ cm of snow please tweet @user_2423 Na… https://t.co/kG438c0gPR,Fri Jan 17 23:39:24 +0000 2020
1218316800418553856,Salute to the missus who turned up to the health sciences building in a skidoo deserves applause for being a true… https://t.co/12FnkyFLEE,Fri Jan 17 23:38:55 +0000 2020
1218316764854902786,Text from the daughter: #snowmaggedon2020 https://t.co/zvj2fNyN2X,Fri Jan 17 23:38:46 +0000 2020
1218316703949520900,#Newfoundland what’s going on ? #shareyourweather #snowmaggedon2020 #Snowpocalypse2020 #Snowmageddon #nlblizzard2020 https://t.co/HEA2iJcqgx,Fri Jan 17 23:38:32 +0000 2020
1218316693233074177,Thanks to the 140km gusts my pot light tried to smash my bedroom window. Fun times climbing through the attic.… https://t.co/1lPDQSCXpd,Fri Jan 17 23:38:29 +0000 2020
1218316691454746625,Wicked wind/storm in #Newfoundland https://t.co/1Y0I8ap0zX,Fri Jan 17 23:38:29 +0000 2020
1218316685666607115,#snowmaggedon2020 continues. Good bye car. https://t.co/brLmWrWeNY,Fri Jan 17 23:38:27 +0000 2020
1218316683179364354,"1pm, 3pm, 6pm, 8pm #nlwx #snowmaggedon2020 https://t.co/kqgYLRslir",Fri Jan 17 23:38:27 +0000 2020
1218316670466437120,"@user_0 @user_361 Around 1pm today, before the wind really started. #nlblizzard2020 #nlstorm #snowmaggedon2020… https://t.co/D4ULZLSYgh",Fri Jan 17 23:38:24 +0000 2020
1218316636819787777,St. John's residents are getting by better in a Category 2 snowicane than Toronto in 10-15cm... If the current cond… https://t.co/UPT2XOIZ4a,Fri Jan 17 23:38:16 +0000 2020
1218316632948453378,@user_1897 #snowmaggedon2020 #snowstorm #Snowmageddon #snowday #Snowpocalypse2020 #SnowMan #Snow #WinterStorm… https://t.co/dg9bd7CuPu,Fri Jan 17 23:38:15 +0000 2020
1218316621728702465,"Look at the bright side.  When the snow stops, townies can look forward to minus 24 wind chill for the shovel out. #nlwx",Fri Jan 17 23:38:12 +0000 2020
1218316569819873282,Tried to get a picture of the blizzard in St. John's NL @user_748 @user_1802 @user_2004 @user_991 https://t.co/43mx98NHO4,Fri Jan 17 23:38:00 +0000 2020
1218316542158540801,@user_545 showing 157 km/hr winds in St.John’s with gusts of 236!!  @user_11 #stormageddon2020,Fri Jan 17 23:37:53 +0000 2020
1218316482704220161,@user_545 #Paradise #nl #nlblizzard2020 #nlwx https://t.co/x2KmLUhBpX,Fri Jan 17 23:37:39 +0000 2020
1218316469823574016,@user_11 @user_2281 No way is 157. March 2017 160khp we felt it. The house rocked. #nlwx,Fri Jan 17 23:37:36 +0000 2020
1218316406455963648,"@user_1250 @user_1435 I guess this may delay your move to Newfoundland.......

#Newfoundland… https://t.co/PqkjGhjCtD",Fri Jan 17 23:37:21 +0000 2020
1218316392358981632,I’m not going out says Mollie #blizzard2020 #nlblizzard2020 #nlweather #mollie #ShareYourWeather https://t.co/5yHmStc8p4,Fri Jan 17 23:37:17 +0000 2020
1218316361450967040,@user_2589 @user_2680 Yeah. Looks lovely... #Newfoundland https://t.co/jKI6lxjihs,Fri Jan 17 23:37:10 +0000 2020
1218316354089930752,Holy Smokes! The amount of snow and wind is crazy! Hunker down Newfoundlanders it doesn’t look like it’s letting up… https://t.co/zMMQf4IFPl,Fri Jan 17 23:37:08 +0000 2020
1218316274066972672,"""Mari-Mack's mother's making Mari-Mack BURY me... My mother's making me BURY Mari-Mac,"" said the #nlblizzard2020 to… https://t.co/vG7evuF4ap",Fri Jan 17 23:36:49 +0000 2020
